id,title,genres,averageRating,numVotes,releaseYear
tt0903747,"Breaking Bad","Crime, Drama, Thriller",9.5,2222284,2008
tt5491994,"Planet Earth II",Documentary,9.5,161331,2016
tt0185906,"Band of Brothers","Drama, History, War",9.4,543090,2001
tt0795176,"Planet Earth","Documentary, Family",9.4,222856,2006
tt5152226,"Tree of Life",Drama,9.4,11606,2014
tt7366338,Chernobyl,"Drama, History, Thriller",9.3,900834,2019
tt0306414,"The Wire","Crime, Drama, Thriller",9.3,388724,2002
tt0417299,"Avatar: The Last Airbender","Action, Adventure, Animation",9.3,387217,2005
tt30263074,"Sapne Vs Everyone",Drama,9.3,70742,2023
tt6769208,"Blue Planet II",Documentary,9.3,48153,2017
tt0081846,Cosmos,Documentary,9.3,45186,1980
tt7678620,Bluey,"Animation, Family",9.3,32363,2018
tt9002164,"BB Ki Vines",Comedy,9.3,11248,2015
tt0944947,"Game of Thrones","Action, Adventure, Drama",9.2,2356835,2011
tt0141842,"The Sopranos","Crime, Drama",9.2,494394,1999
tt14392248,Aspirants,Drama,9.2,313487,2021
tt12392504,"Scam 1992: The Harshad Mehta Story","Biography, Crime, Drama",9.2,160142,2020
tt2395695,"Cosmos: A Spacetime Odyssey",Documentary,9.2,130608,2014
tt9253866,"Our Planet",Documentary,9.2,53056,2019
tt9471404,"The Chosen","Drama, History",9.2,50732,2017
tt4202274,"The Filthy Frank Show","Comedy, Short",9.2,33569,2011
tt0071075,"The World at War","Documentary, History, War",9.2,30460,1973
tt9861270,"Çilgin Dersane at the University",Comedy,9.2,11576,2014
tt1475582,Sherlock,"Crime, Drama, Mystery",9.1,1021453,2010
tt2861424,"Rick and Morty","Adventure, Animation, Comedy",9.1,623722,2013
tt2560140,"Attack on Titan","Action, Adventure, Animation",9.1,552839,2013
tt1355642,"Fullmetal Alchemist: Brotherhood","Action, Adventure, Animation",9.1,206688,2009
tt8420184,"The Last Dance","Biography, Documentary, History",9.1,158263,2020
