player,sort,season,age,position,games,points,nba_champion
Michael Jordan,1,1984-85,21,SG,82,28.2,0
Michael Jordan,2,1985-86,22,SG,18,22.7,0
Michael Jordan,3,1986-87,23,SG,82,37.1,0
Michael Jordan,4,1987-88,24,SG,82,35,0
Michael Jordan,5,1988-89,25,SG,81,32.5,0
Michael Jordan,6,1989-90,26,SG,82,33.6,0
Michael Jordan,7,1990-91,27,SG,82,31.5,1
Michael Jordan,8,1991-92,28,SG,80,30.1,1
Michael Jordan,9,1992-93,29,SG,78,32.6,1
Michael Jordan,10,1994-95,31,SG,17,26.9,0
Michael Jordan,11,1995-96,32,SG,82,30.4,1
Michael Jordan,12,1996-97,33,SG,82,29.6,1
Michael Jordan,13,1997-98,34,SG,82,28.7,1
Kobe Bryant,1,1996-97,18,SF,71,7.6,0
Kobe Bryant,2,1997-98,19,SF,79,15.4,0
Kobe Bryant,3,1998-99,20,SG,50,19.9,0
Kobe Bryant,4,1999-00,21,SG,66,22.5,1
Kobe Bryant,5,2000-01,22,SG,68,28.5,1
Kobe Bryant,6,2001-02,23,SG,80,25.2,1
Kobe Bryant,7,2002-03,24,SG,82,30,0
Kobe Bryant,8,2003-04,25,SG,65,24,0
Kobe Bryant,9,2004-05,26,SG,66,27.6,0
Kobe Bryant,10,2005-06,27,SG,80,35.4,0
Kobe Bryant,11,2006-07,28,SG,77,31.6,0
Kobe Bryant,12,2007-08,29,SG,82,28.3,0
Kobe Bryant,13,2008-09,30,SG,82,26.8,1
Kobe Bryant,14,2009-10,31,SG,73,27,1
Kobe Bryant,15,2010-11,32,SG,82,25.3,0
Kobe Bryant,16,2011-12,33,SG,58,27.9,0
Kobe Bryant,17,2012-13,34,SG,78,27.3,0
Kobe Bryant,18,2013-14,35,SG,6,13.8,0
Kobe Bryant,19,2014-15,36,SG,35,22.3,0
Kobe Bryant,20,2015-16,37,SF,66,17.6,0
Bill Russell,1,1956-57,22,C,48,14.7,1
Bill Russell,2,1957-58,23,C,69,16.6,0
Bill Russell,3,1958-59,24,C,70,16.7,1
Bill Russell,4,1959-60,25,C,74,18.2,1
Bill Russell,5,1960-61,26,C,78,16.9,1
Bill Russell,6,1961-62,27,C,76,18.9,1
Bill Russell,7,1962-63,28,C,78,16.8,1
Bill Russell,8,1963-64,29,C,78,15,1
Bill Russell,9,1964-65,30,C,78,14.1,1
Bill Russell,10,1965-66,31,C,78,12.9,1
Bill Russell,11,1966-67,32,C,81,13.3,1
Bill Russell,12,1967-68,33,C,78,12.5,0
Bill Russell,13,1968-69,34,C,77,9.9,1
Kareem Abdul-Jabbar,1,1969-70,22,C,82,28.8,0
Kareem Abdul-Jabbar,2,1970-71,23,C,82,31.7,1
Kareem Abdul-Jabbar,3,1971-72,24,C,81,34.8,0
Kareem Abdul-Jabbar,4,1972-73,25,C,76,30.2,0
Kareem Abdul-Jabbar,5,1973-74,26,C,81,27,0
Kareem Abdul-Jabbar,6,1974-75,27,C,65,30,0
Kareem Abdul-Jabbar,7,1975-76,28,C,82,27.7,0
Kareem Abdul-Jabbar,8,1976-77,29,C,82,26.2,0
Kareem Abdul-Jabbar,9,1977-78,30,C,62,25.8,0
Kareem Abdul-Jabbar,10,1978-79,31,C,80,23.8,0
Kareem Abdul-Jabbar,11,1979-80,32,C,82,24.8,1
Kareem Abdul-Jabbar,12,1980-81,33,C,80,26.2,0
Kareem Abdul-Jabbar,13,1981-82,34,C,76,23.9,1
Kareem Abdul-Jabbar,14,1982-83,35,C,79,21.8,0
Kareem Abdul-Jabbar,15,1983-84,36,C,80,21.5,0
Kareem Abdul-Jabbar,16,1984-85,37,C,79,22,1
Kareem Abdul-Jabbar,17,1985-86,38,C,79,23.4,0
Kareem Abdul-Jabbar,18,1986-87,39,C,78,17.5,1
Kareem Abdul-Jabbar,19,1987-88,40,C,80,14.6,1
Kareem Abdul-Jabbar,20,1988-89,41,C,74,10.1,0
Lebron James,1,2003-04,19,CLE,79,20.9,0
Lebron James,2,2004-05,20,CLE,80,27.2,0
Lebron James,3,2005-06,21,CLE,79,31.4,0
Lebron James,4,2006-07,22,CLE,78,27.3,0
Lebron James,5,2007-08,23,CLE,75,30,0
Lebron James,6,2008-09,24,CLE,81,28.4,0
Lebron James,7,2009-10,25,CLE,76,29.7,0
Lebron James,8,2010-11,26,MIA,79,26.7,0
Lebron James,9,2011-12,27,MIA,62,27.1,1
Lebron James,10,2012-13,28,MIA,76,26.8,1
Lebron James,11,2013-14,29,MIA,77,27.1,0
Lebron James,12,2014-15,30,CLE,69,25.3,0
Lebron James,13,2015-16,31,CLE,76,25.3,1
Lebron James,14,2016-17,32,CLE,74,26.4,0
Lebron James,15,2017-18,33,CLE,82,27.5,0
Lebron James,16,2018-19,34,LAL,55,27.4,0
Lebron James,17,2019-20,35,LAL,67,25.3,1
