EO50 Approval Date,Business Name,Business Address,Business City,Business State,Business Phone,Postcode,Borough,Community Board,Latitude,Longitude,Council District,BIN,BBL,Census Tract (2020),Neighborhood Tabulation Area (NTA) (2020)
06/02/2021 12:00:00 AM,122 Fifth Associates LLC,120 Fifth Avenue,New York,New York,646-630-8609,10011,MANHATTAN,105,40.738077,-73.992123,3,1015419,1008190037,54,MN0501
06/02/2021 12:00:00 AM,"Broadway Construction Group, LLC",140 Broadway,New York,New York,212-837-4614,10005,MANHATTAN,101,40.709043,-74.010626,1,1001027,1000480001,7,MN0101
06/02/2021 12:00:00 AM,Habacus Construction Inc.,1261 Thieriot Avenue,Bronx,New York,718-295-5222,10472,BRONX,209,40.831459,-73.864364,18,2024786,2037650047,70,BX0901
06/02/2021 12:00:00 AM,Mepa Realty LLC,19 West 24th Street,New York,New York,212-518-4942,10010,MANHATTAN,105,40.742633,-73.990094,3,1015598,1008260026,58,MN0501
06/02/2021 12:00:00 AM,"The Rinaldi Group of New York, LLC",1 Harmon Meadow Boulevard,Secaucus,New Jersey,201-601-4065,07094,,,,,,,,,
06/07/2021 12:00:00 AM,102 Commerce Street BRK LLC,25 West 39th Street,New York,New York,917-232-5849,10018,MANHATTAN,105,40.752022,-73.983304,4,1016041,1008410020,84,MN0502
06/07/2021 12:00:00 AM,105-02 Forest Hills LLC,38 East 29th Street,New York,New York,646-439-4000,10016,MANHATTAN,105,40.744436,-73.984807,2,1016915,1008580049,74,MN0501
06/07/2021 12:00:00 AM,356 Devoe Street BRK LLC,25 West 39th Street,New York,New York,917-232-5849,10018,MANHATTAN,105,40.752022,-73.983304,4,1016041,1008410020,84,MN0502
06/07/2021 12:00:00 AM,"W.J. Regan & Company, LLC",PO Box 123,Wyckoff,New Jersey,646-859-8009,07481,,,,,,,,,
06/09/2021 12:00:00 AM,FPL Fabricators and Erectors Group LLC,5912 57th Street,Maspeth,New York,718-384-3600,11378,,405,40.718221,-73.911928,30,4535044,4026310030,53501,QN0501
06/09/2021 12:00:00 AM,Urban Foundation Engineering LLC,32-33 111th Street,East Elmhurst,New York,718-478-3021,11369,QUEENS,403,40.759107,-73.859104,21,4042316,4017050053,373,QN0302
06/10/2021 12:00:00 AM,511 Fifth Partners LLC,1407 Broadway,New York,New York,917-584-2975,10018,MANHATTAN,105,40.753439,-73.987151,3,1015265,1008140015,113,MN0502
06/10/2021 12:00:00 AM,"Urban Atelier Group, LLC",85 5th Avenue,New York,New York,917-797-6797,10003,MANHATTAN,105,40.737416,-73.992581,2,1016080,1008440001,52,MN0501
