employee,time,tenure,quit,role,avg_hourly_wage,dma,restaurant,restaurant_cat
1,2017-10,5,False,Prep Cook,14.91759996,AUSTIN,3,Upscale Casual
1,2017-11,6,False,Prep Cook,15.00874588,AUSTIN,3,Upscale Casual
1,2017-12,7,False,Prep Cook,14.6101481,AUSTIN,3,Upscale Casual
1,2017-6,1,False,Line Cook,15.90640897,AUSTIN,3,Upscale Casual
1,2017-7,2,False,Prep Cook,15.39387436,AUSTIN,3,Upscale Casual
1,2017-8,3,False,Prep Cook,16.31514753,AUSTIN,3,Upscale Casual
1,2017-9,4,False,Prep Cook,14.12276548,AUSTIN,3,Upscale Casual
1,2018-1,8,False,Prep Cook,14.65887284,AUSTIN,3,Upscale Casual
1,2018-10,17,False,Prep Cook,13.60214803,AUSTIN,3,Upscale Casual
1,2018-11,18,False,Prep Cook,13.65739876,AUSTIN,3,Upscale Casual
1,2018-12,19,False,Prep Cook,15.7700729,AUSTIN,3,Upscale Casual
1,2018-2,9,False,Prep Cook,15.33723141,AUSTIN,3,Upscale Casual
1,2018-3,10,False,Prep Cook,14.73603344,AUSTIN,3,Upscale Casual
1,2018-4,11,False,Prep Cook,14.39901556,AUSTIN,3,Upscale Casual
1,2018-5,12,False,Prep Cook,14.91103843,AUSTIN,3,Upscale Casual
1,2018-6,13,False,Prep Cook,13.39296385,AUSTIN,3,Upscale Casual
1,2018-7,14,False,Prep Cook,15.19356489,AUSTIN,3,Upscale Casual
1,2018-8,15,False,Prep Cook,15.2440805,AUSTIN,3,Upscale Casual
1,2018-9,16,False,Prep Cook,16.1405309,AUSTIN,3,Upscale Casual
1,2019-1,20,False,Line Cook,15.92403963,AUSTIN,3,Upscale Casual
1,2019-2,21,False,Line Cook,16.50789696,AUSTIN,3,Upscale Casual
1,2019-3,22,True,Line Cook,16.38251492,AUSTIN,3,Upscale Casual
2,2016-12,3,False,Prep Cook,15.59564604,AUSTIN,9,Casual Dining
2,2017-1,4,False,Prep Cook,13.25433711,AUSTIN,9,Casual Dining
2,2017-10,13,False,Prep Cook,15.80747615,AUSTIN,9,Casual Dining
2,2017-11,14,False,Prep Cook,15.29738561,AUSTIN,9,Casual Dining
2,2017-12,15,False,Prep Cook,13.78002161,AUSTIN,9,Casual Dining
2,2017-2,5,False,Prep Cook,14.23647894,AUSTIN,9,Casual Dining
2,2017-3,6,False,Prep Cook,15.62605946,AUSTIN,9,Casual Dining
2,2017-4,7,False,Prep Cook,15.30808794,AUSTIN,9,Casual Dining
2,2017-5,8,False,Prep Cook,14.23208543,AUSTIN,9,Casual Dining
2,2017-6,9,False,Prep Cook,14.62256411,AUSTIN,9,Casual Dining
2,2017-7,10,False,Prep Cook,14.3718799,AUSTIN,9,Casual Dining
2,2017-8,11,False,Prep Cook,15.56191723,AUSTIN,9,Casual Dining
2,2017-9,12,False,Prep Cook,15.29595009,AUSTIN,9,Casual Dining
2,2018-1,16,False,Prep Cook,15.23782749,AUSTIN,9,Casual Dining
2,2018-2,17,True,Prep Cook,14.79402164,AUSTIN,9,Casual Dining
3,2017-10,27,True,Cashier,14.23424671,DALLAS,28,Casual Dining
3,2017-6,23,False,Wait-Staff (Tipped),15.84579387,DALLAS,28,Casual Dining
3,2017-7,24,False,Cashier,14.35679197,DALLAS,28,Casual Dining
3,2017-8,25,False,Cashier,15.92733641,DALLAS,28,Casual Dining
3,2017-9,26,False,Cashier,14.1814755,DALLAS,28,Casual Dining
4,2015-10,9,False,Expediter,16.0865816,DALLAS,4,Casual Dining
4,2015-11,10,False,Expediter,14.99112411,DALLAS,4,Casual Dining
4,2015-12,11,False,Expediter,13.29453859,DALLAS,4,Casual Dining
4,2015-2,1,False,Expediter,15.0982447,DALLAS,4,Casual Dining
4,2015-3,2,False,Expediter,12.3172913,DALLAS,4,Casual Dining
4,2015-4,3,False,Expediter,12.65196366,DALLAS,4,Casual Dining
4,2015-5,4,False,Expediter,13.74469589,DALLAS,4,Casual Dining
4,2015-6,5,False,Expediter,14.90930276,DALLAS,4,Casual Dining
4,2015-7,6,False,Expediter,15.99324176,DALLAS,4,Casual Dining
4,2015-8,7,False,Expediter,14.35690901,DALLAS,4,Casual Dining
4,2015-9,8,False,Expediter,14.34614464,DALLAS,4,Casual Dining
4,2016-1,12,False,Expediter,16.14752644,DALLAS,4,Casual Dining
4,2016-2,13,False,Expediter,14.26059046,DALLAS,4,Casual Dining
4,2016-3,14,False,Expediter,15.49428818,DALLAS,4,Casual Dining
4,2016-4,15,False,Expediter,15.80900744,DALLAS,4,Casual Dining
4,2016-5,16,False,Expediter,12.52174844,DALLAS,4,Casual Dining
4,2016-6,17,False,Expediter,11.82374288,DALLAS,4,Casual Dining
4,2016-7,18,False,Expediter,15.22159697,DALLAS,4,Casual Dining
4,2016-8,19,True,Expediter,15.52838942,DALLAS,4,Casual Dining
4,2016-10,2,False,Prep Cook,15.75526499,AUSTIN,9,Casual Dining
4,2016-11,3,False,Prep Cook,16.46613053,AUSTIN,9,Casual Dining
4,2016-12,4,False,Prep Cook,15.75343276,AUSTIN,9,Casual Dining
4,2016-9,1,False,Prep Cook,13.96012799,AUSTIN,9,Casual Dining
4,2017-1,5,True,Prep Cook,15.06104541,AUSTIN,9,Casual Dining
5,2015-10,2,False,Expediter,14.85057753,DALLAS,4,Casual Dining
5,2015-11,3,False,Expediter,15.94282363,DALLAS,4,Casual Dining
5,2015-12,4,False,Expediter,13.63136114,DALLAS,4,Casual Dining
5,2015-9,1,False,Expediter,14.70861148,DALLAS,4,Casual Dining
5,2016-1,5,False,Expediter,14.94172557,DALLAS,4,Casual Dining
5,2016-10,14,False,Line Cook,16.57861616,DALLAS,4,Casual Dining
5,2016-11,15,False,Line Cook,16.12974112,DALLAS,4,Casual Dining
5,2016-12,16,False,Line Cook,16.41751732,DALLAS,4,Casual Dining
5,2016-2,6,False,Expediter,15.55708326,DALLAS,4,Casual Dining
5,2016-3,7,False,Expediter,15.46379168,DALLAS,4,Casual Dining
5,2016-4,8,False,Expediter,13.86256714,DALLAS,4,Casual Dining
5,2016-5,9,False,Expediter,16.32659333,DALLAS,4,Casual Dining
5,2016-6,10,False,Expediter,14.3096944,DALLAS,4,Casual Dining
5,2016-8,12,False,Expediter,17.59361254,DALLAS,4,Casual Dining
5,2016-9,13,False,Expediter,15.51110155,DALLAS,4,Casual Dining
5,2017-1,17,False,Line Cook,15.22891815,DALLAS,4,Casual Dining
5,2017-2,18,False,Line Cook,13.16778152,DALLAS,4,Casual Dining
5,2017-3,19,False,Line Cook,13.21378129,DALLAS,4,Casual Dining
5,2017-4,20,False,Line Cook,14.87824905,DALLAS,4,Casual Dining
5,2017-5,21,False,Line Cook,14.96710244,DALLAS,4,Casual Dining
5,2017-6,22,False,Line Cook,14.53882815,DALLAS,4,Casual Dining
5,2017-7,23,True,Line Cook,13.56651319,DALLAS,4,Casual Dining
6,2017-10,5,False,Line Cook,16.15388463,AUSTIN,3,Upscale Casual
6,2017-11,6,False,Line Cook,15.71083697,AUSTIN,3,Upscale Casual
6,2017-12,7,False,Line Cook,15.89984669,AUSTIN,3,Upscale Casual
6,2017-6,1,False,Line Cook,15.7447214,AUSTIN,3,Upscale Casual
6,2017-7,2,False,Line Cook,15.86305102,AUSTIN,3,Upscale Casual
6,2017-8,3,False,Line Cook,14.08030862,AUSTIN,3,Upscale Casual
6,2017-9,4,False,Line Cook,14.23063217,AUSTIN,3,Upscale Casual
6,2018-1,8,False,Line Cook,14.50025655,AUSTIN,3,Upscale Casual
6,2018-10,17,False,Line Cook,13.79613709,AUSTIN,3,Upscale Casual
6,2018-11,18,False,Line Cook,14.48762407,AUSTIN,3,Upscale Casual
6,2018-12,19,False,Line Cook,16.50100975,AUSTIN,3,Upscale Casual
6,2018-2,9,False,Line Cook,14.95772232,AUSTIN,3,Upscale Casual
6,2018-3,10,False,Line Cook,12.73754864,AUSTIN,3,Upscale Casual
6,2018-4,11,False,Line Cook,14.52399891,AUSTIN,3,Upscale Casual
6,2018-5,12,False,Line Cook,16.31196362,AUSTIN,3,Upscale Casual
6,2018-6,13,False,Line Cook,15.27805415,AUSTIN,3,Upscale Casual
6,2018-7,14,False,Line Cook,15.15804413,AUSTIN,3,Upscale Casual
6,2018-8,15,False,Line Cook,15.48056811,AUSTIN,3,Upscale Casual
6,2018-9,16,False,Line Cook,15.42135831,AUSTIN,3,Upscale Casual
6,2019-1,20,False,Line Cook,15.47578884,AUSTIN,3,Upscale Casual
