Date,Open,High,Low,Close,Adj Close,Volume
2008-01-02,13261.820313,13279.540039,12991.370117,13043.959961,13043.959961,239580000
2008-01-03,13044.120117,13137.929688,13023.559570,13056.719727,13056.719727,200620000
2008-01-04,13046.559570,13046.719727,12789.040039,12800.179688,12800.179688,304210000
2008-01-07,12801.150391,12884.150391,12733.839844,12827.490234,12827.490234,306700000
2008-01-08,12820.900391,12906.419922,12565.410156,12589.070313,12589.070313,322690000
2008-01-09,12590.209961,12738.639648,12501.759766,12735.309570,12735.309570,332900000
2008-01-10,12733.110352,12931.290039,12632.150391,12853.089844,12853.089844,325330000
2008-01-11,12850.740234,12851.139648,12543.870117,12606.299805,12606.299805,301890000
2008-01-14,12613.780273,12794.570313,12613.700195,12778.150391,12778.150391,245370000
2008-01-15,12777.500000,12777.500000,12488.759766,12501.110352,12501.110352,339700000
2008-01-16,12476.809570,12613.129883,12392.269531,12466.160156,12466.160156,500040000
2008-01-17,12467.049805,12517.610352,12125.559570,12159.209961,12159.209961,439830000
2008-01-18,12159.940430,12341.540039,12022.480469,12099.299805,12099.299805,483300000
2008-01-22,12092.719727,12092.719727,11634.820313,11971.190430,11971.190430,506500000
2008-01-23,11969.080078,12276.669922,11644.809570,12270.169922,12270.169922,536520000
2008-01-24,12272.690430,12399.179688,12241.799805,12378.610352,12378.610352,387900000
2008-01-25,12391.700195,12486.889648,12183.679688,12207.169922,12207.169922,393660000
2008-01-28,12205.709961,12386.009766,12112.139648,12383.889648,12383.889648,278990000
2008-01-29,12385.190430,12503.150391,12346.990234,12480.299805,12480.299805,285090000
2008-01-30,12480.139648,12681.410156,12406.169922,12442.830078,12442.830078,334680000
2008-01-31,12438.280273,12702.379883,12249.929688,12650.360352,12650.360352,394330000
2008-02-01,12638.169922,12767.740234,12602.320313,12743.190430,12743.190430,379580000
2008-02-04,12743.110352,12749.780273,12621.830078,12635.160156,12635.160156,237410000
2008-02-05,12631.849609,12631.929688,12264.070313,12265.129883,12265.129883,334380000
2008-02-06,12257.250000,12390.320313,12178.150391,12200.099609,12200.099609,296360000
2008-02-07,12196.200195,12332.519531,12120.440430,12247.000000,12247.000000,326200000
2008-02-08,12248.469727,12281.879883,12103.370117,12182.129883,12182.129883,262200000
2008-02-11,12181.889648,12252.120117,12069.469727,12240.009766,12240.009766,268100000
2008-02-12,12241.559570,12469.410156,12241.559570,12373.410156,12373.410156,256970000
2008-02-13,12368.120117,12573.129883,12367.799805,12552.240234,12552.240234,236300000
2008-02-14,12551.509766,12557.610352,12361.459961,12376.980469,12376.980469,233790000
2008-02-15,12376.660156,12376.660156,12278.620117,12348.209961,12348.209961,289800000
2008-02-19,12349.589844,12505.250000,12304.080078,12337.219727,12337.219727,257550000
2008-02-20,12333.309570,12464.059570,12227.719727,12427.259766,12427.259766,297990000
2008-02-21,12426.849609,12503.459961,12247.339844,12284.299805,12284.299805,293420000
2008-02-22,12281.089844,12397.790039,12155.259766,12381.019531,12381.019531,307090000
2008-02-25,12380.769531,12584.620117,12341.040039,12570.219727,12570.219727,288600000
2008-02-26,12569.480469,12734.179688,12512.410156,12684.919922,12684.919922,291760000
2008-02-27,12683.540039,12756.559570,12609.370117,12694.280273,12694.280273,263720000
2008-02-28,12689.280273,12689.440430,12536.429688,12582.179688,12582.179688,247270000
2008-02-29,12579.580078,12580.150391,12223.570313,12266.389648,12266.389648,351870000
2008-03-03,12264.360352,12281.370117,12161.049805,12258.900391,12258.900391,259730000
2008-03-04,12259.139648,12259.230469,12032.419922,12213.799805,12213.799805,347720000
2008-03-05,12204.929688,12349.669922,12140.530273,12254.990234,12254.990234,304570000
2008-03-06,12254.589844,12254.589844,12026.070313,12040.389648,12040.389648,283100000
2008-03-07,12039.089844,12094.209961,11819.690430,11893.690430,11893.690430,307580000
2008-03-10,11893.040039,11926.500000,11731.599609,11740.150391,11740.150391,312020000
2008-03-11,11741.330078,12160.799805,11741.009766,12156.809570,12156.809570,372330000
2008-03-12,12148.610352,12303.349609,12092.250000,12110.240234,12110.240234,288130000
2008-03-13,12096.490234,12215.349609,11875.780273,12145.740234,12145.740234,336260000
2008-03-14,12146.389648,12193.610352,11832.719727,11951.089844,11951.089844,380810000
2008-03-17,11946.450195,12076.219727,11756.599609,11972.250000,11972.250000,382890000
2008-03-18,11975.919922,12392.660156,11975.839844,12392.660156,12392.660156,367780000
2008-03-19,12391.519531,12461.530273,12095.099609,12099.660156,12099.660156,328460000
2008-03-20,12102.429688,12378.740234,12097.870117,12361.320313,12361.320313,502650000
2008-03-24,12361.969727,12622.070313,12361.969727,12548.639648,12548.639648,264320000
2008-03-25,12547.339844,12571.839844,12449.080078,12532.599609,12532.599609,237650000
2008-03-26,12531.790039,12531.950195,12376.700195,12422.860352,12422.860352,235020000
2008-03-27,12421.879883,12476.759766,12293.339844,12302.459961,12302.459961,235390000
2008-03-28,12303.919922,12382.160156,12196.870117,12216.400391,12216.400391,209000000
2008-03-31,12215.919922,12326.469727,12176.110352,12262.889648,12262.889648,273610000
2008-04-01,12266.639648,12659.820313,12266.469727,12654.360352,12654.360352,295530000
2008-04-02,12651.669922,12696.290039,12555.169922,12608.919922,12608.919922,232760000
2008-04-03,12605.830078,12675.120117,12527.750000,12626.030273,12626.030273,183870000
2008-04-04,12626.030273,12688.480469,12528.160156,12609.419922,12609.419922,181260000
2008-04-07,12612.589844,12733.660156,12583.280273,12612.429688,12612.429688,198070000
2008-04-08,12602.660156,12607.299805,12525.799805,12576.440430,12576.440430,197200000
2008-04-09,12574.650391,12621.549805,12468.969727,12527.259766,12527.259766,194950000
2008-04-10,12526.780273,12649.309570,12497.219727,12581.980469,12581.980469,227330000
2008-04-11,12579.780273,12580.269531,12302.059570,12325.419922,12325.419922,286850000
2008-04-14,12324.769531,12367.599609,12280.400391,12302.059570,12302.059570,216010000
2008-04-15,12302.059570,12387.790039,12269.809570,12362.469727,12362.469727,208950000
2008-04-16,12371.509766,12625.780273,12371.509766,12619.269531,12619.269531,269490000
2008-04-17,12617.400391,12656.559570,12563.250000,12620.490234,12620.490234,217000000
2008-04-18,12626.759766,12893.980469,12626.759766,12849.360352,12849.360352,304030000
2008-04-21,12850.910156,12850.910156,12751.169922,12825.019531,12825.019531,192400000
2008-04-22,12825.019531,12825.259766,12656.559570,12720.230469,12720.230469,214950000
2008-04-23,12721.450195,12837.389648,12703.049805,12763.219727,12763.219727,244120000
2008-04-24,12764.679688,12942.259766,12706.629883,12848.950195,12848.950195,249920000
